,facility_name,facility_gps_lat,facility_gps_lon,region_province,district,chiefdom,facility_location,facility_type_other,managing_authority_other,outpatient_only,capacity.number_consultation_rooms,capacity.number_inpatient_beds,capacity.number_maternity_beds,cho_number_in_post,cho_number_present_at_visit,cht_number_in_post,cht_number_present_at_visit,cha_number_in_post,cha_number_present_at_visit,cm_number_in_post,cm_number_present_at_visit,sechn_number_in_post,sechn_number_present_at_visit,lab_tech_number_in_post,lab_tech_number_present_at_visit,mch_aides_number_in_post,mch_aides_number_present_at_visit,cleaner_porter_number_in_post,cleaner_porter_number_present_at_visit,other_number_in_post,other_number_present_at_visit,other_staff_cadre,sections_to_review,consultations.head_count.month_1,consultations.head_count.month_2,consultations.head_count.month_3,consultations.head_count.month_4,consultations.general_outpatient.month_1,consultations.general_outpatient.month_2,consultations.general_outpatient.month_3,consultations.general_outpatient.month_4,consultations.deliveries.month_1,consultations.deliveries.month_2,consultations.deliveries.month_3,consultations.deliveries.month_4,consultations.pent_vaccines.month_1,consultations.pent_vaccines.month_2,consultations.pent_vaccines.month_3,consultations.pent_vaccines.month_4,hr_focal_point,hr_staff_received_info,hr_healthcare_provider_training,hr_healthcare_provider_revised_training,hr_daily_staff_list,iec_handwashing_procedure,iec_physical_distancing,iec_covering_nose_mouth,iec_early_symptom_recognition,iec_when_facility_vs_home,iec_rational_ppe_use,iec_helpline_number,surv_procedure_for_notification,surv_official_case_definition,surv_hotline_number,surv_timely_data_reported_to_district,ter_screening_area_set_up,ter_symptom_screening_questionnaires,ter_temperature_measurement_at_triage,ter_physical_distancing_in_waiting,ter_separate_waiting_for_symptomatic,chw_trained_precautions,chw_trained_community_service,chw_drugs,chw_gloves,chw_masks,chw_iec_materials,iso_designated_isolation_for_suspected,iso_distance_between_patients_in_waiting,iso_distance_between_patient_beds,iso_transfer_referral_protocol,ipc_ppe_medical_masks,ipc_ppe_disp_surgical_masks,ipc_ppe_eye_protection,ipc_ppe_examination_gloves,ipc_ppe_surgical_gloves,ipc_ppe_long_cuffed_gloves,ipc_ppe_heavy_duty_gloves,ipc_ppe_long_sleeved_gown,ipc_ppe_waterproof_aprons,ipc_ppe_plan_staff_trained_on_ppe,ipc_ppe_plan_ppe_poster_displayed,ipc_ppe_plan_fit_test_kit,ipc_ppe_plan_contingency_for_shortages,ipc_wcd_colour_coded_bins,ipc_wcd_clinical_waste_bags,ipc_wcd_laundry_receptacles_at_patient_rooms,ipc_wcd_incinerator,ipc_wash_clean_running_water,ipc_wash_hand_soap,ipc_wash_liquid_soap,ipc_wash_disp_hand_towels,ipc_wash_alcohol_based_hand_gel,ipc_ds_protocol_facility_disinfection,ipc_ds_protocol_equipment_sterilisation,ipc_ds_environmental_disinfectant,ipc_ds_cleaning_schedule_in_toilets,ipc_ds_protocol_corpse_handling,log_referral_plan,log_cellphone_landline_swradio,log_tracer_drugs,log_albendazole,log_amoxicillin,log_ampicillin,log_chlorhexidine_5,log_chlorhexidine_7,log_gentamicin,log_folic,log_ferrous_and_folic,log_compound_sodium,log_co_trimoxazole_400,log_co_trimoxazole_200,log_metronidazole_250,log_metronidazole_200,log_methyldopa,log_magnesium_sulphate,log_lidocaine,log_ibuprofen,log_surgical_spirit,log_sodium_chloride,log_povidone,log_paracetamol_500,log_paracetamol_250,log_ors,log_gauze,log_cotton_wool,log_cannula_iv_20,log_cannula_iv_24,log_zinc_sulphate,log_water,log_needle_23,log_needle_21,log_glove_giving,log_glove_surgical,log_glove_gyn,log_glove_exam,log_tape,log_syringe,log_oxytocin,log_diazepam,log_misoprostol,log_glucose,consultations.head_count.monthly_average_head_counts,consultations.general_outpatient.monthly_average_general_outpatient,consultations.deliveries.monthly_average_deliveries,consultations.pent_vaccines.monthly_average_pent_vaccines,score_human_resources,score_max_human_resources,score_information_education_communication,score_max_information_education_communication,score_surveillance,score_max_surveillance,score_triage_and_early_recognition,score_max_triage_and_early_recognition,score_chw,score_max_chw,score_isolation,score_max_isolation,score_infection_prevention_and_control_ppe,score_max_infection_prevention_and_control_ppe,score_infection_prevention_and_control_ppe_plan,score_max_infection_prevention_and_control_ppe_plan,score_infection_prevention_and_control_waste_collection_and_disposal,score_max_infection_prevention_and_control_waste_collection_and_disposal,score_infection_prevention_and_control_water_sanitation_and_hygiene,score_max_infection_prevention_and_control_water_sanitation_and_hygiene,score_infection_prevention_and_control_disinfection_and_sterilization,score_max_infection_prevention_and_control_disinfection_and_sterilization,score_infection_prevention_and_control,score_max_infection_prevention_and_control,question1.score_logistics_patient_and_sample_transfer,question1.score_max_logistics_patient_and_sample_transfer,score_total,score_max_total,type_clinic,type_community_health_centre,type_community_health_post,type_mch_post,type_<NA>,manage_government_public,manage_other,manage_private_for_profit,manage_<NA>,setting_peri_urban,setting_rural,setting_slum,setting_urban,setting_<NA>
52,MELISSA HOSPITAL/CHC,32.6405175,90.631751,EASTERN,KENEMA,IDAHO,SMITHMOUTH,,,True,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,895,856,240,549,62,35,12,150,10,11,8,11,10,9,14,20,0,2,0,0,2,True,False,False,True,True,True,False,1,0,2,2,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,2,2,2,2,0,0,2,1,2,1,1,2,2,0,2,2,2,0,0,0,2,2,0,2,1,2,0,1,2,2,2,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,635.0,64.75,10.0,13.25,2.0,5.0,4.0,7.0,2.5,4.0,0.5,5.0,0.5,6.0,1.5,4.0,5.0,9.0,2.5,4.0,3.0,4.0,2.0,5.0,2.5,5.0,15.0,27.0,21.5,44.0,47.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
53,JAMES MCHP,83.244579,-165.138422,NORTHERN,FALABA,WEST VIRGINIA,HAWKINSFURT,,,True,1,2,1,1,1,0,0,0,0,1,0,0,0,1,1,2,2,2,0,4,0,TBAs,chw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,,,,,,,,,,,,,,,,,0.0,6.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
54,TYLER CHC,-75.193907,58.678637,SOUTHERN,BONTHE,MISSOURI,BRANDONPORT,,,False,1,2,2,1,1,0,0,0,0,1,0,2,2,0,0,1,1,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,260,240,223,213,115,111,106,151,7,9,5,10,19,11,11,5,2,1,1,0,0,True,False,False,False,False,False,True,2,2,2,2,0,0,0,2,2,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,0,0,0,1,0,0,2,0,0,0,2,2,2,2,0,2,0,0,0,0,0,2,2,2,2,2,2,0,,2,2,0,2,2,0,2,2,2,2,2,2,2,2,2,2,0,2,1,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,0,0,234.0,120.75,7.75,11.5,2.0,5.0,2.0,7.0,4.0,4.0,2.0,5.0,2.5,6.0,3.5,4.0,5.5,9.0,1.5,4.0,1.0,4.0,4.0,5.0,0.0,5.0,12.0,27.0,32.0,44.0,60.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
55,JUSTIN CLINIC,-34.614783,5.396469,NORTHERN,TONKOLILI,WASHINGTON,WALLACEMOUTH,,,False,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,415,365,400,240,300,260,470,350,15,16,9,8,6,11,8,13,1,2,1,0,2,True,True,False,False,True,False,False,0,0,1,2,2,2,2,2,0,1,1,2,2,2,1,2,2,2,2,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0,0,2,1,2,2,1,1,1,2,1,0,1,1,1,1,1,1,2,1,2,0,2,1,0,1,1,2,2,2,1,0,0,0,0,0,2,2,2,0,2,1,1,1,1,1,0,0,355.0,345.0,12.0,9.5,3.0,5.0,3.0,7.0,1.5,4.0,4.0,5.0,4.0,6.0,4.0,4.0,2.0,9.0,0.5,4.0,0.0,4.0,2.5,5.0,0.5,5.0,5.5,27.0,21.5,44.0,46.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
56,MICHELLE CHP,7.44126,-65.316032,NORTHERN,FALABA,GEORGIA,NORTH AMBER,,,True,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,TBA and Security,hr triage_early_recognition isolation_physical_distancing,,,,,,,,,,,,,,,,,0,,0,0,0,,,,,,,,,,,,0,0,0,0,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,0.0,5.0,,,0.0,4.0,,,,,,,,,,,,,,,0.0,14.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
57,NATHAN HOSPITAL/CHC,81.4315525,-175.168462,NORTH-WESTERN,KARENE,ALASKA,ROBERTBURGH,,,False,1,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,414,377,493,310,94,77,94,82,3,4,4,7,11,7,5,6,0,2,0,0,2,True,True,False,True,True,True,False,0,0,2,2,2,0,0,1,0,2,2,2,2,0,0,1,0,0,2,2,2,0,2,2,0,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,1,2,0,0,0,2,0,2,2,2,2,2,0,2,2,0,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,398.5,86.75,4.5,7.25,2.0,5.0,5.0,7.0,2.0,4.0,1.5,5.0,3.0,6.0,1.5,4.0,7.0,9.0,3.0,4.0,2.0,4.0,0.0,5.0,1.5,5.0,13.5,27.0,34.0,44.0,62.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
58,TARA HOSPITAL/CHC,-78.1280035,127.803298,NOTHERN,BOMBALI,GEORGIA,NEW CYNTHIA,,,True,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,298,221,319,225,145,136,127,93,7,4,5,7,13,6,9,7,2,2,0,0,0,True,True,True,True,True,False,False,2,2,2,2,0,1,0,1,2,0,0,0,2,2,2,2,2,1,2,1,0,1,2,2,0,0,1,1,1,0,0,0,1,1,0,2,2,0,1,0,1,2,2,1,0,0,2,1,1,1,1,1,2,,2,0,0,2,1,0,2,2,2,2,1,0,1,2,2,2,2,2,0,2,0,0,2,0,2,2,2,2,0,2,2,2,2,2,0,0,265.75,125.25,5.75,8.75,2.0,5.0,5.0,7.0,4.0,4.0,2.0,5.0,3.0,6.0,3.5,4.0,4.0,9.0,0.5,4.0,2.0,4.0,2.0,5.0,2.5,5.0,11.0,27.0,26.0,44.0,56.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
59,WALTER MCHP,-10.5700315,-57.32863,NORTH-WESTERN,PORT LOKO,COLORADO,ASHLEEMOUTH,,,True,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,394,432,340,320,386,180,167,148,22,20,16,10,14,17,11,13,0,2,0,0,2,True,False,False,False,False,True,True,0,0,2,2,0,2,2,2,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,1,0,0,2,2,2,0,2,2,0,0,0,0,2,0,1,2,0,2,1,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,1,2,0,0,2,2,0,0,1,0,0,0,0,0,1,1,0,0,371.5,220.25,17.0,13.75,2.0,5.0,3.0,7.0,2.0,4.0,3.0,5.0,0.5,6.0,2.5,4.0,0.5,9.0,1.5,4.0,3.0,4.0,1.0,5.0,1.5,5.0,7.5,27.0,9.5,44.0,30.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
60,NATHANIEL REGIONAL HOSPITAL,-20.8091295,-107.648858,NORTH-WESTERN,PORT LOKO,OHIO,NEW KAREN,,,True,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,305,260,299,150,616,482,519,237,12,16,17,3,10,8,6,5,0,2,0,0,0,True,False,True,False,False,False,False,2,0,2,2,0,0,1,2,0,1,1,0,2,2,2,0,2,2,2,0,1,2,1,0,1,0,0,2,0,0,0,2,0,0,1,2,2,1,1,0,0,0,0,0,0,0,1,2,,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1,2,1,0,0,0,1,0,2,0,0,1,2,0,0,2,0,1,1,0,0,2,2,0,0,253.5,463.5,12.0,7.25,1.0,5.0,2.0,7.0,3.0,4.0,1.5,5.0,3.5,6.0,3.0,4.0,3.5,9.0,1.0,4.0,1.5,4.0,2.0,5.0,0.0,5.0,8.0,27.0,13.0,44.0,35.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
61,LANCE REGIONAL HOSPITAL,-0.209731,-42.425136,WESTERN,WESTERN AREA RURAL,COLORADO,NEW ASHLEY,,,True,2,0,2,0,0,0,0,2,1,0,0,3,1,0,0,2,0,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,1249,1355,1361,1104,747,1048,965,861,25,24,20,10,22,22,23,18,0,1,0,0,2,True,False,True,True,True,False,True,1,0,2,2,0,0,0,0,0,1,0,2,0,1,1,0,0,0,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,2,2,0,0,2,1,0,2,0,2,2,2,2,2,0,2,0,2,0,0,0,2,0,0,0,2,2,0,2,0,2,2,2,0,2,0,2,2,2,2,2,2,0,2,0,1,0,0,2,0,0,0,0,1267.25,905.25,19.75,21.25,1.5,5.0,5.0,7.0,2.5,4.0,0.0,5.0,2.0,6.0,1.0,4.0,2.0,9.0,0.5,4.0,1.0,4.0,2.5,5.0,1.5,5.0,7.5,27.0,22.5,44.0,42.0,102.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
62,CHARLES TERTIARY HOSPITAL,18.7818615,36.895655,WESTERN,WESTERN AREA RURAL,RHODE ISLAND,PAULFORT,,,True,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,728,560,617,492,341,335,361,251,20,19,14,23,19,13,19,12,0,2,0,0,2,False,True,True,False,False,True,True,2,2,2,2,2,0,2,0,0,0,0,1,2,0,0,0,0,0,2,2,0,2,2,2,2,0,0,2,1,0,0,0,0,2,0,2,1,0,2,0,2,0,0,2,0,1,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,0,2,2,2,2,2,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,599.25,322.0,19.0,15.75,2.0,5.0,4.0,7.0,4.0,4.0,2.0,5.0,1.5,6.0,1.0,4.0,6.0,9.0,0.5,4.0,2.0,4.0,2.5,5.0,1.5,5.0,12.5,27.0,34.0,44.0,61.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
63,ASHLEY CHP,66.085993,66.742655,NORTH-WESTERN,KAMBIA,OREGON,NEW CRAIG,,,True,2,3,2,0,0,0,0,0,0,0,0,1,1,0,0,2,2,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,602,595,786,402,274,245,242,154,30,26,26,14,25,21,22,16,0,2,0,0,2,True,False,False,True,True,True,True,2,0,2,2,0,0,2,0,0,1,1,0,0,1,2,0,0,0,0,0,2,2,2,2,2,0,0,2,0,2,0,2,1,1,0,2,1,0,2,0,0,0,0,,1,0,2,2,,2,2,2,0,2,0,0,0,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2,1,2,0,2,2,0,2,,2,2,1,2,0,2,2,2,0,0,596.25,228.75,24.0,21.0,2.0,5.0,5.0,7.0,3.0,4.0,1.0,5.0,2.0,6.0,0.0,4.0,6.0,9.0,2.0,4.0,2.0,4.0,1.5,5.0,0.0,5.0,11.5,27.0,28.0,44.0,52.5,102.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
64,JASON CHP,-89.7082065,105.610082,NORTH-WESTERN,KAMBIA,KENTUCKY,KRISTYVIEW,,,True,2,5,2,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,2261,2234,1724,1942,369,387,305,200,23,12,19,15,21,20,17,15,0,2,1,0,2,True,False,False,True,True,True,True,2,0,2,2,1,0,0,0,2,1,1,1,1,0,0,2,2,2,0,0,0,1,2,0,2,2,2,2,1,0,0,2,2,2,1,0,1,0,2,0,0,0,0,1,0,0,2,0,1,2,2,2,0,0,2,2,0,2,2,0,2,0,2,2,2,2,0,2,2,2,0,2,0,2,0,2,2,0,2,2,2,0,0,0,2,1,2,2,2,0,2040.25,315.25,17.25,18.25,2.5,5.0,5.0,7.0,3.0,4.0,1.5,5.0,1.5,6.0,3.0,4.0,5.5,9.0,1.5,4.0,2.5,4.0,1.5,5.0,0.5,5.0,11.5,27.0,26.0,44.0,54.0,102.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
65,TANYA CLINIC,-1.9089215,-165.327305,NORTH-WESTERN,KAMBIA,KANSAS,WEST PETERBERG,,,True,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,405,411,621,261,169,151,222,145,19,15,15,9,17,18,12,10,0,2,2,2,1,False,False,True,True,True,True,True,2,0,2,2,0,0,2,0,0,1,1,1,0,0,0,0,0,0,2,2,0,0,2,0,0,2,2,2,0,0,0,2,1,1,0,0,2,0,2,0,0,0,0,1,0,0,1,2,,2,2,2,0,2,2,0,0,2,2,0,2,0,2,2,2,2,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,,,2,2,2,2,0,0,424.5,171.75,14.5,14.25,3.5,5.0,5.0,7.0,3.0,4.0,1.0,5.0,1.0,6.0,1.0,4.0,5.0,9.0,1.0,4.0,1.0,4.0,2.0,5.0,0.5,5.0,9.5,27.0,27.5,44.0,51.5,102.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
66,JAMIE MCHP,32.704756,98.627386,SOUTHERN,MOYAMBA,NEW JERSEY,ARIASTON,,,True,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,203,320,291,349,123,104,142,207,5,11,11,10,10,10,12,11,2,,2,2,2,True,True,True,True,True,True,True,2,0,2,2,2,2,2,2,2,2,1,0,0,0,0,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,2,,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,2,,2,2,2,2,2,0,0,2,,2,2,2,2,2,2,2,0,290.75,144.0,9.25,10.75,4.0,5.0,7.0,7.0,3.0,4.0,5.0,5.0,0.5,6.0,4.0,4.0,7.0,9.0,4.0,4.0,1.0,4.0,0.0,5.0,4.0,5.0,16.0,27.0,33.5,44.0,73.0,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
67,GENE CHP,15.0312295,-44.843893,SOUTHERN,MOYAMBA,COLORADO,ERICABURGH,,,True,1,0,1,0,0,4,2,0,0,0,0,0,0,0,0,3,3,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,604,658,625,579,169,124,137,124,6,11,11,9,9,10,10,10,2,2,2,2,2,True,True,True,True,True,True,True,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2,2,2,0,616.5,138.5,9.25,9.75,5.0,5.0,7.0,7.0,4.0,4.0,4.5,5.0,5.0,6.0,3.0,4.0,9.0,9.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,25.0,27.0,36.0,44.0,89.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
68,LEE CHP,-33.9784325,165.217542,SOUTHERN,PUJEHUN,MASSACHUSETTS,MURRAYPORT,,,True,1,0,4,1,0,0,0,0,0,1,1,1,0,1,1,2,1,2,2,1,1,TBA,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,1311,547,274,282,298,327,189,176,15,16,20,22,23,17,31,18,0,2,2,0,2,True,True,True,True,True,True,True,2,0,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1,0,0,0,0,2,0,1,0,0,0,0,2,0,2,2,0,2,0,2,0,0,2,0,0,2,0,1,2,1,0,1,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,1,0,1,2,0,2,2,0,0,0,2,0,2,1,0,0,2,1,1,0,0,0,603.5,247.5,18.25,22.25,3.0,5.0,7.0,7.0,3.0,4.0,2.0,5.0,5.0,6.0,3.0,4.0,3.0,9.0,0.5,4.0,2.0,4.0,3.0,5.0,1.0,5.0,9.5,27.0,14.0,44.0,46.5,102.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
69,CAROLYN MCHP,-28.4681085,-10.306568,EASTERN,KONO,MARYLAND,ROMEROVIEW,,,True,2,7,7,1,1,1,1,0,0,1,1,2,1,1,1,2,2,1,1,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,325,379,353,297,263,287,231,208,16,12,19,19,16,16,17,16,0,2,2,0,2,False,False,False,False,False,False,False,2,0,2,2,0,0,2,1,0,1,0,2,2,1,0,0,0,1,2,2,1,0,2,2,2,2,2,2,0,0,0,0,1,2,0,2,2,2,2,0,1,0,0,0,0,0,2,0,2,0,2,2,2,2,0,0,0,0,2,2,2,0,2,,2,2,2,2,2,0,0,2,0,2,2,2,2,2,0,0,2,2,2,2,2,0,0,2,0,0,338.5,247.25,16.5,16.25,3.0,5.0,0.0,7.0,3.0,4.0,1.5,5.0,2.5,6.0,1.5,4.0,7.5,9.0,0.0,4.0,2.5,4.0,3.5,5.0,0.0,5.0,13.5,27.0,26.0,44.0,51.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
70,AUTUMN CHP,9.1308525,-87.591751,NOTHERN,BOMBALI,FLORIDA,WEST BRIANBERG,,,True,3,12,4,2,1,0,0,1,0,2,2,2,2,1,1,3,2,3,0,0,0,,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,493,832,480,346,277,466,376,249,15,16,16,13,25,24,19,12,0,2,0,0,2,False,False,False,False,False,False,False,1,0,2,2,1,0,0,0,2,2,2,1,0,0,2,2,1,2,2,0,0,0,1,0,1,2,1,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,1,0,0,2,0,,0,0,0,2,,0,0,2,2,2,2,2,0,2,0,0,0,0,1,0,0,1,2,2,2,0,0,2,0,1,0,1,1,1,0,2,2,2,2,0,0,537.75,342.0,15.0,20.0,2.0,5.0,0.0,7.0,2.5,4.0,1.5,5.0,2.5,6.0,3.5,4.0,2.5,9.0,0.0,4.0,2.0,4.0,1.0,5.0,1.0,5.0,6.5,27.0,17.5,44.0,36.0,102.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
71,THOMAS HOSPITAL,-21.2218485,-47.055607,WESTERN,WESTERN AREA URBAN,KENTUCKY,KELLYLAND,,,True,1,5,1,1,1,0,0,2,0,2,1,6,2,0,0,8,2,1,1,2,1,security,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,769,635,685,646,676,538,602,541,19,14,20,22,48,25,35,23,0,1,1,1,0,True,True,True,True,True,False,False,2,1,1,2,1,2,2,2,2,2,1,2,2,0,0,2,1,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,2,2,1,1,0,1,2,2,1,2,1,1,0,1,0,2,0,0,2,2,2,0,0,0,2,2,2,0,1,0,2,0,0,0,0,0,2,2,2,2,2,2,2,0,0,1,1,1,1,0,0,0,2,0,0,683.75,589.25,18.75,32.75,1.5,5.0,5.0,7.0,3.0,4.0,4.5,5.0,2.5,6.0,3.0,4.0,0.5,9.0,1.0,4.0,2.5,4.0,2.5,5.0,3.0,5.0,9.5,27.0,18.5,44.0,47.5,102.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
72,LISA TERTIARY HOSPITAL,50.873618,-160.07077,EASTERN,KAILAHUN,VIRGINIA,EAST DEBRA,,,True,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,2,2,TBAs,consultations hr information_education_communication surveillance triage_early_recognition chw isolation_physical_distancing infection_prevention_and_control logistics,321,336,214,303,134,198,150,243,15,15,15,15,12,12,15,15,2,2,1,2,1,True,True,True,True,True,True,True,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,293.5,181.25,15.0,13.5,4.0,5.0,7.0,7.0,4.0,4.0,2.5,5.0,5.0,6.0,1.0,4.0,2.5,9.0,0.0,4.0,0.5,4.0,1.0,5.0,1.0,5.0,5.0,27.0,16.0,44.0,44.5,102.0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
